pid,question
1,I would suggest keeping up with the population growth and help reduce traffic.
2,"Better public transit, specifically trains."
3,"Cities need to have dense, mixed income housing. Fight the moneyed interests and loosen zoning laws."
4,Stop raising taxes and think of the people who  were here for  the past 40 years. Be affordable
5,"BUILD LIGHT RAIL, AFFORDABLE HOUSING, FIX 1ST STREET, STOP GIVING TAX BREAKS TO MAJOR DEVELOPMENTS"
6,Prices to live here are too high.
7,HOMELESS POPULATION NEEDS TO BE ADDRESSED.
8,"Either develop great initiatives to include and engage people of color, or if the programs exist learn how to promote them to the people they are meant to reach."
9,PLEASE DO NOT DESTROY SINGLE FMAILY NEIGHBORHOODS BY GIVING PRIORITY TO DENSIFYING THE INNER STREETS. PLACE DENSITY ON THE CORRIDORS AS WAS PLANNED AND PROMISED. LOBBY THE APPRAISAL DISTRICT AND TEXAS LEGISLATURE TO CHANGE THE WAY RESIDENTIAL PROPERTIES ARE APPRAISED SO THEY ARE NOT INCREASED UNLESS A PROPERTY IS SOLD.
10,INVEST IN PUBLIC TRANSPORTATION
11,Be more diligent with our property taxes/bonds. We vote yes for bonds but it takes 2-3 years to enact. By then things have changed and more expensive and often too late. Stop spending years on feasibility studies. $8 million on CodeNEXT. Those are my tax dollars as a home owner!
12,"Don't forget the original Austinites! We are still here but barely, between the rent rates and cost of living, its cheaper to move outside of Austin and commute. But we would rather live in Austin. I was born at Brackenridge Hospital and I don't intend on leaving Austin but if the rent rates continue to climb to rates that only transplants can afford we will have to. We don't want to leave!"
13,Please give us different electricity/water/gas service providers!!! Please help raise minimum wage!
14,"Please  read Walkable City and the sequel, 101 Rules for Walkable Cities."
15,I love it here.
16,More affordable housing for Austin natives FIRST!
17,Taxes are to high and home insurance too higher
18,MORE FOCUS ON AFRICAN AMERICAN CULTURE.
19,"Please work harder to improve affordable Housing to off set chronic homelessness and vagrants squatting in city parks, trashing city under/over-passes, and squatting and polluting wooded neighborhoods."
20,"As a Texan native who worked and was educated in the City of Austin, it is astonishing to see now the city has embraced outsiders and forget about the people who contributed to making the city great. The cost of living and pay gaps need to be remedied and PEOPLE need to be the focus in order to maintain the true character of the city."
21,"Austin is so spread out it's difficult to get around effectively without a car, even when one really wants to do so."
